行政區,路名,段號及其他註明,經度,緯度,導航頁面
內湖區,陽光街,陽光街單號側(內湖國中站牌),121.587773,25.076899,"https://www.google.com.tw/maps/dir//25.076899,121.587773"
內湖區,文德路,文德路175號前(捷運站旁),121.586021,25.078672,"https://www.google.com.tw/maps/dir//25.078672,121.586021"
內湖區,文德路,文德路50號(文德3號公園前),121.580915,25.078368,"https://www.google.com.tw/maps/dir//25.078368,121.580915"
內湖區,成功路,成功路3段(內湖國中成功路側門右邊)1,121.589948,25.077045,"https://www.google.com.tw/maps/dir//25.077045,121.589948"
內湖區,成功路,成功路3段(內湖國中成功路側門右邊)2,121.59004,25.076775,"https://www.google.com.tw/maps/dir//25.076775,121.59004"
內湖區,石潭路,石潭路137號前(石潭成功路口站牌)1,121.58954,25.06334,"https://www.google.com.tw/maps/dir//25.06334,121.58954"
內湖區,石潭路,石潭路137號前(石潭成功路口站牌)2,121.58905,25.0632,"https://www.google.com.tw/maps/dir//25.0632,121.58905"
內湖區,行善路,行善路417巷口,121.58584,25.06487,"https://www.google.com.tw/maps/dir//25.06487,121.58584"
內湖區,行善路,行善路與金豐街交叉口,121.58609,25.06602,"https://www.google.com.tw/maps/dir//25.06602,121.58609"
內湖區,成功路,成功路4段360號,121.600291,25.084755,"https://www.google.com.tw/maps/dir//25.084755,121.600291"
內湖區,成功路,成功路4段64號,121.592608,25.082647,"https://www.google.com.tw/maps/dir//25.082647,121.592608"
內湖區,成功路,成功路3段61號方濟中學,121.590254,25.076919,"https://www.google.com.tw/maps/dir//25.076919,121.590254"
內湖區,成功路,成功路3段143號,121.590009,25.0795986,"https://www.google.com.tw/maps/dir//25.0795986,121.590009"
內湖區,成功路,成功路5段大湖公園4(湖山六號公園對面),121.602257,25.082363,"https://www.google.com.tw/maps/dir//25.082363,121.602257"
內湖區,成功路,成功路4段155號,121.594027,25.083273,"https://www.google.com.tw/maps/dir//25.083273,121.594027"
內湖區,成功路,成功路4段363號,121.600137,25.084547,"https://www.google.com.tw/maps/dir//25.084547,121.600137"
內湖區,成功路,成功路5段大湖公園捷運站2號出口,121.602535,25.083526,"https://www.google.com.tw/maps/dir//25.083526,121.602535"
內湖區,成功路,成功路5段大湖公園1(游泳池),121.604992,25.082869,"https://www.google.com.tw/maps/dir//25.082869,121.604992"
內湖區,成功路,成功路5段大湖公園2(觀景台),121.606718,25.081357,"https://www.google.com.tw/maps/dir//25.081357,121.606718"
內湖區,成功路,成功路5段大湖公園3(靠東湖),121.607127,25.079751,"https://www.google.com.tw/maps/dir//25.079751,121.607127"
內湖區,成功路,成功路5段大湖公園捷運站1號出口,121.602631,25.083767,"https://www.google.com.tw/maps/dir//25.083767,121.602631"
內湖區,金龍路,金龍路234號,121.586618,25.088514,"https://www.google.com.tw/maps/dir//25.088514,121.586618"
內湖區,內湖路,內湖路2段177號,121.587041,25.081281,"https://www.google.com.tw/maps/dir//25.081281,121.587041"
內湖區,康寧路,康寧路3段183號,121.611832,25.070028,"https://www.google.com.tw/maps/dir//25.070028,121.611832"
內湖區,康寧路,康寧路3段105號(明湖國小),121.610746,25.071044,"https://www.google.com.tw/maps/dir//25.071044,121.610746"
內湖區,康寧路,康寧路3段81號公車站牌,121.609381,25.071824,"https://www.google.com.tw/maps/dir//25.071824,121.609381"
內湖區,成功路,成功路5段39號前,121.606994,25.07762,"https://www.google.com.tw/maps/dir//25.07762,121.606994"
內湖區,成功路,成功路5段404號對面候車亭,121.607143,25.075824,"https://www.google.com.tw/maps/dir//25.075824,121.607143"
內湖區,東湖路,東湖路142號公車站牌,121.616935,25.068019,"https://www.google.com.tw/maps/dir//25.068019,121.616935"
內湖區,民權東路,民權東路6段471號公車站牌,121.604954,25.072516,"https://www.google.com.tw/maps/dir//25.072516,121.604954"
內湖區,康寧路,康寧路3段157號公車站牌,121.611479,25.070491,"https://www.google.com.tw/maps/dir//25.070491,121.611479"
內湖區,康寧路,康寧路3段54-5號公車站牌,121.609292,25.071611,"https://www.google.com.tw/maps/dir//25.071611,121.609292"
內湖區,康寧路,康寧路3段60號明湖國中,121.610886,25.070589,"https://www.google.com.tw/maps/dir//25.070589,121.610886"
內湖區,康寧路,康寧路3段220號,121.611502,25.067608,"https://www.google.com.tw/maps/dir//25.067608,121.611502"
內湖區,東湖路,東湖路130號,121.616675,25.068087,"https://www.google.com.tw/maps/dir//25.068087,121.616675"
內湖區,康寧路,康寧路3段16號葫洲捷運站2號出口,121.606989,25.0726127,"https://www.google.com.tw/maps/dir//25.0726127,121.606989"
內湖區,安康路,安康路內湖焚化廠內,121.604699,25.063238,"https://www.google.com.tw/maps/dir//25.063238,121.604699"
內湖區,成功路,成功路5段450巷23弄口葫洲捷運站,121.608274,25.072665,"https://www.google.com.tw/maps/dir//25.072665,121.608274"
內湖區,康寧路,康寧路3段18號,121.60746,25.072419,"https://www.google.com.tw/maps/dir//25.072419,121.60746"
內湖區,康寧路,康寧路3段東湖捷運站2號出口,121.611256,25.067153,"https://www.google.com.tw/maps/dir//25.067153,121.611256"
內湖區,康寧路,康寧路3段51號葫洲站1號出口,121.607904,25.072534,"https://www.google.com.tw/maps/dir//25.072534,121.607904"
內湖區,內湖路,內湖路1段606號公車站牌右側,121.578433,25.078681,"https://www.google.com.tw/maps/dir//25.078681,121.578433"
內湖區,文德路,文德路25號公車站牌,121.580636,25.078599,"https://www.google.com.tw/maps/dir//25.078599,121.580636"
內湖區,內湖路,內湖路2段與文德路口小公園旁,121.579495,25.078628,"https://www.google.com.tw/maps/dir//25.078628,121.579495"
內湖區,內湖路,內湖路1段741號左側,121.578761,25.078827,"https://www.google.com.tw/maps/dir//25.078827,121.578761"
內湖區,內湖路,內湖路1段733號公車站牌,121.578204,25.079034,"https://www.google.com.tw/maps/dir//25.079034,121.578204"
內湖區,內湖路,內湖路1段719號公車站牌,121.577768,25.079201,"https://www.google.com.tw/maps/dir//25.079201,121.577768"
內湖區,內湖路,內湖路1段277號公車站牌,121.56579,25.082465,"https://www.google.com.tw/maps/dir//25.082465,121.56579"
內湖區,內湖路,內湖路1段217巷口公車站牌右側,121.564168,25.08309,"https://www.google.com.tw/maps/dir//25.08309,121.564168"
內湖區,內湖路,內湖路1段99號公車站牌,121.561518,25.084428,"https://www.google.com.tw/maps/dir//25.084428,121.561518"
內湖區,環山路,環山路2段65號對面公車站牌,121.574157,25.08525,"https://www.google.com.tw/maps/dir//25.08525,121.574157"
內湖區,內湖路,內湖路1段225巷口,121.564774,25.082788,"https://www.google.com.tw/maps/dir//25.082788,121.564774"
內湖區,內湖路,內湖路1段285巷口,121.566367,25.082353,"https://www.google.com.tw/maps/dir//25.082353,121.566367"
內湖區,內湖路,內湖路1段659號前(港墘捷運站),121.575605,25.08008,"https://www.google.com.tw/maps/dir//25.08008,121.575605"
內湖區,內湖路,內湖路1段683號,121.576285,25.079817,"https://www.google.com.tw/maps/dir//25.079817,121.576285"
內湖區,文德路,文德路91號右側10公尺,121.582943,25.078615,"https://www.google.com.tw/maps/dir//25.078615,121.582943"
內湖區,內湖路,內湖路1段1段594號公車站牌右側,121.57771,25.078965,"https://www.google.com.tw/maps/dir//25.078965,121.57771"
內湖區,內湖路,內湖路1段239號前,121.565427,25.08257,"https://www.google.com.tw/maps/dir//25.08257,121.565427"
內湖區,內湖路,內湖路1段285巷口西湖捷運站,121.566814,25.082314,"https://www.google.com.tw/maps/dir//25.082314,121.566814"
內湖區,內湖路,內湖路1段594號(西湖圖書館),121.577409,25.079125,"https://www.google.com.tw/maps/dir//25.079125,121.577409"
內湖區,內湖路,內湖路1段550號港墘派出所邊,121.576646,25.078863,"https://www.google.com.tw/maps/dir//25.078863,121.576646"
內湖區,港墘路,港墘路110號右側20公尺處(圓環),121.576879,25.079724,"https://www.google.com.tw/maps/dir//25.079724,121.576879"
內湖區,內湖路,內湖路1段550號港墘派出所前10公尺,121.577002,25.078915,"https://www.google.com.tw/maps/dir//25.078915,121.577002"
內湖區,內湖路,內湖路1段117號前,121.561975,25.084245,"https://www.google.com.tw/maps/dir//25.084245,121.561975"
內湖區,環山路,環山路2段65號對面公車站牌旁,121.574555,25.085099,"https://www.google.com.tw/maps/dir//25.085099,121.574555"
內湖區,內湖路,內湖路1段659號右側(港墘捷運站1號出口),121.575214,25.080243,"https://www.google.com.tw/maps/dir//25.080243,121.575214"
內湖區,舊宗路,舊宗路一段188號,121.5769,25.0631,"https://www.google.com.tw/maps/dir//25.0631,121.5769"
內湖區,民權東路,民權東路6段25號時報廣場站牌,121.583101,25.06857,"https://www.google.com.tw/maps/dir//25.06857,121.583101"
內湖區,民權東路,民權東路6段13號民權大橋站牌,121.579051,25.066989,"https://www.google.com.tw/maps/dir//25.066989,121.579051"
內湖區,民權東路,民權東路6段13號對面民權大橋站牌,121.579519,25.066866,"https://www.google.com.tw/maps/dir//25.066866,121.579519"
內湖區,行愛路,行愛路176號,121.579176,25.06528,"https://www.google.com.tw/maps/dir//25.06528,121.579176"
內湖區,舊宗路,舊宗路2段內湖運動公園,121.57444,25.068333,"https://www.google.com.tw/maps/dir//25.068333,121.57444"
內湖區,舊宗路,舊宗路2段213巷旁1,121.572823,25.074128,"https://www.google.com.tw/maps/dir//25.074128,121.572823"
內湖區,舊宗路,舊宗路1段319號金莎家俱旁,121.576238,25.064381,"https://www.google.com.tw/maps/dir//25.064381,121.576238"
內湖區,舊宗路,舊宗路1段188號大潤發二館,121.576863,25.063175,"https://www.google.com.tw/maps/dir//25.063175,121.576863"
內湖區,舊宗路,舊宗路1段130號統一皇帽汽車百貨店前,121.577507,25.062327,"https://www.google.com.tw/maps/dir//25.062327,121.577507"
內湖區,舊宗路,舊宗路1段128號大潤發一館前1,121.578903,25.060483,"https://www.google.com.tw/maps/dir//25.060483,121.578903"
內湖區,瑞光路,瑞光路498號,121.5685,25.0792,"https://www.google.com.tw/maps/dir//25.0792,121.5685"
內湖區,新湖二路,新湖二路233號,121.5811,25.0637,"https://www.google.com.tw/maps/dir//25.0637,121.5811"
內湖區,瑞光路,瑞光路321號台北花市站牌,121.57307,25.07734,"https://www.google.com.tw/maps/dir//25.07734,121.57307"
內湖區,瑞光路,瑞光路581號仁寶大樓站牌,121.568518,25.079345,"https://www.google.com.tw/maps/dir//25.079345,121.568518"
內湖區,瑞光路,瑞光路639號竹城大廈,121.566114,25.080454,"https://www.google.com.tw/maps/dir//25.080454,121.566114"
內湖區,基湖路,基湖路8號內湖基湖路口站牌,121.565255,25.08195,"https://www.google.com.tw/maps/dir//25.08195,121.565255"
內湖區,內湖路,內湖路1段66號(北勢湖公園),121.561563,25.084098,"https://www.google.com.tw/maps/dir//25.084098,121.561563"
內湖區,內湖路,內湖路1段126號治盤新村站牌,121.563779,25.082938,"https://www.google.com.tw/maps/dir//25.082938,121.563779"
內湖區,內湖路,內湖路1段246號西湖市場站牌,121.565813,25.082193,"https://www.google.com.tw/maps/dir//25.082193,121.565813"
內湖區,舊宗路,舊宗路2段213巷,121.574242,25.073565,"https://www.google.com.tw/maps/dir//25.073565,121.574242"
內湖區,舊宗路,舊宗路一段130號,121.5776,25.0622,"https://www.google.com.tw/maps/dir//25.0622,121.5776"
內湖區,舊宗路,舊宗路一段128號,121.5787,25.0608,"https://www.google.com.tw/maps/dir//25.0608,121.5787"
內湖區,瑞光路,瑞光路498號仁寶大樓站牌,121.568605,25.07911,"https://www.google.com.tw/maps/dir//25.07911,121.568605"
內湖區,瑞光路,瑞光路356號台北花市站牌,121.573312,25.077037,"https://www.google.com.tw/maps/dir//25.077037,121.573312"
內湖區,舊宗路2段,舊宗路2段內湖運動公園站,121.574444,25.067777,"https://www.google.com.tw/maps/dir//25.067777,121.574444"
內湖區,瑞光路,瑞光路110號公館山站牌,121.580858,25.072042,"https://www.google.com.tw/maps/dir//25.072042,121.580858"
內湖區,基湖路,基湖路25號,121.564883,25.080194,"https://www.google.com.tw/maps/dir//25.080194,121.564883"
內湖區,新湖一路,新湖一路73號,121.575562,25.058668,"https://www.google.com.tw/maps/dir//25.058668,121.575562"
內湖區,瑞光路,瑞光路110號公車站牌,121.580803,25.0721491,"https://www.google.com.tw/maps/dir//25.0721491,121.580803"
內湖區,舊宗路,舊宗路2段213巷旁2,121.573012,25.073868,"https://www.google.com.tw/maps/dir//25.073868,121.573012"
內湖區,新湖二路,新湖二路233號(東南客運對面),121.581083,25.0636389,"https://www.google.com.tw/maps/dir//25.0636389,121.581083"
內湖區,新湖一路,新湖一路73號對面,121.575194,25.0585278,"https://www.google.com.tw/maps/dir//25.0585278,121.575194"
內湖區,舊宗路,舊宗路2段１號,121.574806,25.06675,"https://www.google.com.tw/maps/dir//25.06675,121.574806"
松山區,東興路,12號,121.563428,25.0498034,"https://www.google.com.tw/maps/dir//25.0498034,121.563428"
松山區,東興路,21號,121.577983,25.049977,"https://www.google.com.tw/maps/dir//25.049977,121.577983"
松山區,光復北路,3號,121.557985,25.049652,"https://www.google.com.tw/maps/dir//25.049652,121.557985"
松山區,光復北路,13號,121.560623,25.051455,"https://www.google.com.tw/maps/dir//25.051455,121.560623"
松山區,南京東路,5段64號(公車站內),121.560196,25.0513964,"https://www.google.com.tw/maps/dir//25.0513964,121.560196"
松山區,南京東路,5段64號(公車站內),121.564826,25.051429,"https://www.google.com.tw/maps/dir//25.051429,121.564826"
松山區,南京東路,五段202號,121.566695,25.051208,"https://www.google.com.tw/maps/dir//25.051208,121.566695"
松山區,南京東路,五段268號,121.56911,25.051551,"https://www.google.com.tw/maps/dir//25.051551,121.56911"
松山區,南京東路,五段385號,121.564779,25.051572,"https://www.google.com.tw/maps/dir//25.051572,121.564779"
松山區,南京東路,五段237號,121.563889,25.053113,"https://www.google.com.tw/maps/dir//25.053113,121.563889"
松山區,三民路,36號,121.563835,25.05515,"https://www.google.com.tw/maps/dir//25.05515,121.563835"
松山區,三民路,64號,121.5635,25.05553,"https://www.google.com.tw/maps/dir//25.05553,121.5635"
松山區,三民路,33號,121.56212,25.0541,"https://www.google.com.tw/maps/dir//25.0541,121.56212"
松山區,健康路,195號,121.578446,25.049984,"https://www.google.com.tw/maps/dir//25.049984,121.578446"
松山區,八德路,四段622號,121.577753,25.050553,"https://www.google.com.tw/maps/dir//25.050553,121.577753"
松山區,八德路,四段742號(松山國小)(捷運松山線5號出口),121.577281,25.05013,"https://www.google.com.tw/maps/dir//25.05013,121.577281"
松山區,八德路,四段723號(捷運松山線1號出口),121.556771,25.048456,"https://www.google.com.tw/maps/dir//25.048456,121.556771"
松山區,八德路,4段21號,121.558261,25.0486166,"https://www.google.com.tw/maps/dir//25.0486166,121.558261"
松山區,八德路,4段98號(中崙高中斜對面),121.560887,25.0512278,"https://www.google.com.tw/maps/dir//25.0512278,121.560887"
松山區,南京東路,5段162號(麥當勞前),121.566974,25.0510348,"https://www.google.com.tw/maps/dir//25.0510348,121.566974"
松山區,南京東路,5段348號,121.566974,25.0510348,"https://www.google.com.tw/maps/dir//25.0510348,121.566974"
松山區,民生東路,3段156號,121.5475,25.0575,"https://www.google.com.tw/maps/dir//25.0575,121.5475"
松山區,敦化北路,150號(S-HOTEL前),121.548611,25.054722,"https://www.google.com.tw/maps/dir//25.054722,121.548611"
松山區,敦化北路,長春敦化路口公車專用道/前,121.548888,25.054444,"https://www.google.com.tw/maps/dir//25.054444,121.548888"
松山區,敦化北路,長春敦化路口公車專用道/後,121.548853,25.054966,"https://www.google.com.tw/maps/dir//25.054966,121.548853"
松山區,敦化北路,122號,121.548692,25.053955,"https://www.google.com.tw/maps/dir//25.053955,121.548692"
松山區,敦化北路,102號,121.548611,25.053333,"https://www.google.com.tw/maps/dir//25.053333,121.548611"
松山區,敦化北路,100號,121.548611,25.052777,"https://www.google.com.tw/maps/dir//25.052777,121.548611"
松山區,敦化北路,南京敦化路口公車專用道/前,121.548888,25.052222,"https://www.google.com.tw/maps/dir//25.052222,121.548888"
松山區,敦化北路,南京敦化路口公車專用道/後,121.54889,25.052506,"https://www.google.com.tw/maps/dir//25.052506,121.54889"
松山區,敦化北路,62號,121.548611,25.051111,"https://www.google.com.tw/maps/dir//25.051111,121.548611"
松山區,敦化北路,4巷口,121.548656,25.050203,"https://www.google.com.tw/maps/dir//25.050203,121.548656"
松山區,敦化北路,敦化國小校門口斜前方,121.548625,25.049342,"https://www.google.com.tw/maps/dir//25.049342,121.548625"
松山區,敦化北路,敦化北路與八德路交叉口,121.548611,25.048611,"https://www.google.com.tw/maps/dir//25.048611,121.548611"
松山區,敦化北路,八德敦化路口公車專用道/前,121.548801,25.048332,"https://www.google.com.tw/maps/dir//25.048332,121.548801"
松山區,敦化北路,八德敦化路口公車專用道/後,121.548812,25.048742,"https://www.google.com.tw/maps/dir//25.048742,121.548812"
松山區,敦化南路,1段88號,121.548611,25.046944,"https://www.google.com.tw/maps/dir//25.046944,121.548611"
松山區,敦化南路,1段108號,121.548611,25.045,"https://www.google.com.tw/maps/dir//25.045,121.548611"
松山區,敦化南路,市民敦南路口公車專用道/前,121.54878,25.045244,"https://www.google.com.tw/maps/dir//25.045244,121.54878"
松山區,敦化南路,市民敦南路口公車專用道/後,121.548775,25.045689,"https://www.google.com.tw/maps/dir//25.045689,121.548775"
松山區,復興南路,1段43號,121.544167,25.0458333,"https://www.google.com.tw/maps/dir//25.0458333,121.544167"
松山區,南京東路,南京復興站公車專用道/前(兄弟飯店),121.544449,25.051891,"https://www.google.com.tw/maps/dir//25.051891,121.544449"
松山區,南京東路,南京復興站公車專用道/後(兄弟飯店),121.544757,25.051894,"https://www.google.com.tw/maps/dir//25.051894,121.544757"
松山區,南京東路,3段340號對面南京敦化站公車專用道,121.548123,25.051769,"https://www.google.com.tw/maps/dir//25.051769,121.548123"
松山區,南京東路,3段350號對面南京敦化站公車專用道,121.548456,25.051778,"https://www.google.com.tw/maps/dir//25.051778,121.548456"
松山區,南京東路,4段與敦化北路口(大樹下),121.549303,25.051593,"https://www.google.com.tw/maps/dir//25.051593,121.549303"
松山區,南京東路,4段2號人行道,121.550016,25.051606,"https://www.google.com.tw/maps/dir//25.051606,121.550016"
松山區,南京東路,4段2號(捷運小巨蛋2號出口),121.550835,25.051581,"https://www.google.com.tw/maps/dir//25.051581,121.550835"
松山區,南京東路,4段10號(捷運小巨蛋3號出口),121.5525,25.05156,"https://www.google.com.tw/maps/dir//25.05156,121.5525"
松山區,南京東路,4段18號(捷運小巨蛋4號出口),121.553332,25.051546,"https://www.google.com.tw/maps/dir//25.051546,121.553332"
松山區,南京東路,4段102號,121.554167,25.051535,"https://www.google.com.tw/maps/dir//25.051535,121.554167"
松山區,南京東路,4段114號,121.554739,25.051508,"https://www.google.com.tw/maps/dir//25.051508,121.554739"
松山區,南京東路,南京寧安站公車專用道/前,121.5547,25.05158,"https://www.google.com.tw/maps/dir//25.05158,121.5547"
松山區,南京東路,南京寧安站公車專用道/後,121.554396,25.051585,"https://www.google.com.tw/maps/dir//25.051585,121.554396"
松山區,南京東路,4段126號彰化銀行前,121.55525,25.051507,"https://www.google.com.tw/maps/dir//25.051507,121.55525"
松山區,南京東路,4段156號艾捷天麗大飯店前,121.556109,25.051468,"https://www.google.com.tw/maps/dir//25.051468,121.556109"
松山區,敦化南路,1段57號,121.549167,25.045833,"https://www.google.com.tw/maps/dir//25.045833,121.549167"
松山區,敦化南路,1段5號,121.549198,25.047034,"https://www.google.com.tw/maps/dir//25.047034,121.549198"
松山區,敦化南路,1段3號(八德路與敦化北路口),121.549167,25.0475,"https://www.google.com.tw/maps/dir//25.0475,121.549167"
松山區,八德路,3段20號(7-11前台視公車站),121.551187,25.048132,"https://www.google.com.tw/maps/dir//25.048132,121.551187"
松山區,八德路,3段25號(八德路與北寧路口),121.552493,25.04831,"https://www.google.com.tw/maps/dir//25.04831,121.552493"
松山區,八德路,3段10號對面(松山運動中心),121.550315,25.048248,"https://www.google.com.tw/maps/dir//25.048248,121.550315"
松山區,八德路三段,8巷對面,121.549398,25.048249,"https://www.google.com.tw/maps/dir//25.048249,121.549398"
松山區,敦化北路,市立體育場公車站牌,121.549167,25.049166,"https://www.google.com.tw/maps/dir//25.049166,121.549167"
松山區,敦化北路,台北田徑場敦北出口,121.549167,25.049444,"https://www.google.com.tw/maps/dir//25.049444,121.549167"
松山區,敦化北路,5號小巨蛋周邊,121.549167,25.050277,"https://www.google.com.tw/maps/dir//25.050277,121.549167"
松山區,敦化北路,5號7-11前小巨蛋周邊,121.549167,25.051111,"https://www.google.com.tw/maps/dir//25.051111,121.549167"
松山區,光復北路,226號前(光復北路與光復北路230巷路口),121.555558,25.056088,"https://www.google.com.tw/maps/dir//25.056088,121.555558"
松山區,光復北路,220號,121.553222,25.055756,"https://www.google.com.tw/maps/dir//25.055756,121.553222"
松山區,南京東路,五段125號(公車南京三民路口站),121.560889,25.051524,"https://www.google.com.tw/maps/dir//25.051524,121.560889"
松山區,南京東路,五段123巷(中花開發前對面),121.560567,25.0515465,"https://www.google.com.tw/maps/dir//25.0515465,121.560567"
松山區,南京東路,五段125號(公車南京三民路口站),121.560977,25.051544,"https://www.google.com.tw/maps/dir//25.051544,121.560977"
松山區,南京東路,四段179巷口,121.55637,25.0516723,"https://www.google.com.tw/maps/dir//25.0516723,121.55637"
松山區,南京東路,四段139號(公車南京寧安街口站),121.555268,25.051635,"https://www.google.com.tw/maps/dir//25.051635,121.555268"
松山區,南京東路,四段139號(公車南京寧安街口站),121.555313,25.0516999,"https://www.google.com.tw/maps/dir//25.0516999,121.555313"
松山區,南京東路,四段55-1號(捷運台北小巨蛋5號出口附近),121.55223,25.05183,"https://www.google.com.tw/maps/dir//25.05183,121.55223"
松山區,南京東路,四段(捷運台北小巨蛋1號出入口),121.550124,25.0516476,"https://www.google.com.tw/maps/dir//25.0516476,121.550124"
松山區,南京東路,四段1號(公車南京敦化路口(小巨蛋)站),121.549258,25.051795,"https://www.google.com.tw/maps/dir//25.051795,121.549258"
松山區,南京東路,南京東路四段與敦化北路口,121.546767,25.0518318,"https://www.google.com.tw/maps/dir//25.0518318,121.546767"
松山區,敦化北路,201號(公車長庚醫院站),121.549352,25.056717,"https://www.google.com.tw/maps/dir//25.056717,121.549352"
松山區,敦化北路,201號(公車長庚醫院站旁),121.549248,25.0566419,"https://www.google.com.tw/maps/dir//25.0566419,121.549248"
松山區,敦化北路,205號(民生東路四段上),121.549612,25.057706,"https://www.google.com.tw/maps/dir//25.057706,121.549612"
松山區,民生東路,四段與敦化北路口(台灣銀行旁),121.54929,25.0575074,"https://www.google.com.tw/maps/dir//25.0575074,121.54929"
松山區,南京東路,四段1號(公車南京敦化路口(小巨蛋)站),121.54684,25.0516475,"https://www.google.com.tw/maps/dir//25.0516475,121.54684"
松山區,民生東路,四段130號對面,121.549392,25.05802,"https://www.google.com.tw/maps/dir//25.05802,121.549392"
松山區,三民路,三民路5號(西松國小前公車站牌),121.550248,25.059761,"https://www.google.com.tw/maps/dir//25.059761,121.550248"
松山區,南京東路,四段13巷口(必勝客對面公車站),121.549561,25.057654,"https://www.google.com.tw/maps/dir//25.057654,121.549561"
松山區,南京東路,五段99號對面,121.548764,25.057936,"https://www.google.com.tw/maps/dir//25.057936,121.548764"
松山區,敦化北路,207號,121.548993,25.05796,"https://www.google.com.tw/maps/dir//25.05796,121.548993"
松山區,敦化北路,敦北公園旁,121.548636,25.057825,"https://www.google.com.tw/maps/dir//25.057825,121.548636"
松山區,敦化北路,333巷口(公車富錦街口站),121.549018,25.058038,"https://www.google.com.tw/maps/dir//25.058038,121.549018"
松山區,民生東路,四段133號,121.546489,25.0580245,"https://www.google.com.tw/maps/dir//25.0580245,121.546489"
松山區,敦化北路,214號,121.545318,25.057898,"https://www.google.com.tw/maps/dir//25.057898,121.545318"
松山區,敦化北路,214號(公車民生敦化路口站),121.548163,25.062054,"https://www.google.com.tw/maps/dir//25.062054,121.548163"
松山區,民生東路,三段135號(麥當勞),121.548574,25.061466,"https://www.google.com.tw/maps/dir//25.061466,121.548574"
松山區,民生東路,三段117號(公車民生敦化路口站),121.546078,25.0620863,"https://www.google.com.tw/maps/dir//25.0620863,121.546078"
松山區,敦化北路,214號(公車民生敦化路口站),121.544605,25.062169,"https://www.google.com.tw/maps/dir//25.062169,121.544605"
松山區,民生東路,三段109號(公車西華飯店站),121.550475,25.0616679,"https://www.google.com.tw/maps/dir//25.0616679,121.550475"
松山區,民權東路,三段162號(民有派出所對面公車站),121.544706,25.0620497,"https://www.google.com.tw/maps/dir//25.0620497,121.544706"
松山區,民權東路,三段175巷口(對面公車站),121.547769,25.062008,"https://www.google.com.tw/maps/dir//25.062008,121.547769"
松山區,民權東路,三段181號(公車民權敦化路口站),121.546079,25.0619945,"https://www.google.com.tw/maps/dir//25.0619945,121.546079"
松山區,民權東路,民權東路與敦化北路口,121.550753,25.0582324,"https://www.google.com.tw/maps/dir//25.0582324,121.550753"
松山區,民權東路,三段181號(公車民權敦化路口站),121.542268,25.0581844,"https://www.google.com.tw/maps/dir//25.0581844,121.542268"
松山區,民權東路,三段103巷口(公車民權復興路口站),121.542626,25.0617968,"https://www.google.com.tw/maps/dir//25.0617968,121.542626"
松山區,民權東路,敦化北路與民權東路口,121.544386,25.0604471,"https://www.google.com.tw/maps/dir//25.0604471,121.544386"
松山區,民權東路,三段102號(對面公車站牌),121.545846,25.0621845,"https://www.google.com.tw/maps/dir//25.0621845,121.545846"
